set I := 0 1 2 3 4;
set J := 0 1 2 3 4;
set K := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set L := 0;
set T := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param c :=
[0,0] 0
[0,1] 8
[0,2] 9
[0,3] 4
[0,4] 6
[1,0] 8
[1,1] 0
[1,2] 4
[1,3] 5
[1,4] 2
[2,0] 9
[2,1] 4
[2,2] 0
[2,3] 6
[2,4] 5
[3,0] 4
[3,1] 5
[3,2] 6
[3,3] 0
[3,4] 3
[4,0] 6
[4,1] 2
[4,2] 5
[4,3] 3
[4,4] 0
;
param s_k :=
0 3
1 4
2 3
3 2
4 0
5 1
6 2
7 3
8 1
9 2
10 4
11 1
12 2
13 2
14 3
;
param d_k :=
0 2
1 2
2 4
3 4
4 4
5 0
6 1
7 1
8 3
9 0
10 2
11 2
12 1
13 0
14 4
;
param g_k :=
0 38
1 34
2 20
3 4
4 18
5 26
6 31
7 36
8 45
9 48
10 49
11 18
12 4
13 47
14 11
;
param max_t := 30;
param initial_capacity := 3;
